age_group,pb_level,BLL0,f_sys,dBLL_med_Post,dBLL_med_Pre,dBLL_p05_Post,dBLL_p05_Pre,dBLL_p95_Post,dBLL_p95_Pre,p_exceed_3_5_Post,p_exceed_3_5_Pre,p_exceed_5_Post,p_exceed_5_Pre,delta_dBLL_med,delta_dBLL_p05,delta_dBLL_p95,rr_exceed_3_5,rr_exceed_5
Adult_18plus,C_high,0.5,0.25,1.5359401477906336,1.0602179201964537,0.8744699695396264,0.6058747947357852,2.5783542634539858,1.7686063537196974,0.04883333333333334,0,0.002,0,0.4757222275941799,0.2685951748038412,0.8097479097342883,Inf,Inf
Adult_18plus,C_high,1,0.25,1.5397376242648577,1.0589313280563815,0.8772630762547065,0.5930344514883849,2.574683534267718,1.7716030461112382,0.11366666666666667,0.0013333333333333333,0.005666666666666667,0,0.48080629620847626,0.2842286247663216,0.8030804881564797,85.25,Inf
Adult_18plus,C_high,2,0.25,1.5293728366702384,1.0428986651738081,0.8785339417382181,0.5771402919463475,2.620443021230667,1.7680942185670376,0.4806666666666667,0.13,0.04533333333333334,0.001,0.48647417149643024,0.30139364979187055,0.8523488026636292,3.6974358974358976,45.333333333333336
Adult_18plus,C_high,0.5,0.5,3.0438057401243555,2.0883732811353615,1.7285696452091175,1.1757956079221288,5.177131102316195,3.526685981906187,0.4786666666666667,0.13433333333333333,0.16416666666666668,0.004333333333333333,0.955432458988994,0.5527740372869887,1.6504451204100077,3.5632754342431765,37.88461538461539
Adult_18plus,C_high,1,0.5,3.036160876157589,2.103826030395968,1.7419854398349226,1.2015189475783563,5.157738933220685,3.4781319021038746,0.63,0.302,0.24466666666666664,0.018333333333333333,0.9323348457616207,0.5404664922565663,1.6796070311168103,2.0860927152317883,13.345454545454544
Adult_18plus,C_high,2,0.5,3.089532083463361,2.1332763992678188,1.732024097026847,1.1879296025749346,5.153962556963442,3.541295269486911,0.9356666666666666,0.847,0.484,0.132,0.9562556841955421,0.5440944944519124,1.6126672874765315,1.1046831955922864,3.6666666666666665
Adult_18plus,C_high,0.5,0.75,4.601036689289193,3.1249035550933453,2.606315869658485,1.7996430217636377,7.724954223571724,5.2217982076641265,0.8043333333333333,0.556,0.489,0.12366666666666666,1.4761331341958481,0.8066728478948475,2.5031560159075976,1.4466426858513188,3.954177897574124
Adult_18plus,C_high,1,0.75,4.637686316933666,3.1770081046163035,2.6152037470192004,1.8020784337063926,7.851482918363228,5.326339589580369,0.9006666666666667,0.7583333333333333,0.585,0.242,1.460678212317363,0.8131253133128078,2.5251433287828586,1.1876923076923078,2.4173553719008263
Adult_18plus,C_high,2,0.75,4.6058197140344985,3.184616757001267,2.591140477922817,1.8050148081549953,7.703779357558047,5.3872024763382855,0.9958333333333333,0.9853333333333333,0.8025,0.5743333333333334,1.4212029570332314,0.7861256697678218,2.3165768812197616,1.0106562922868743,1.39727219965177
Adult_18plus,C_high,0.5,1,6.110592920521139,4.228696513032068,3.47333607399898,2.3688767893204057,10.361096400213764,7.05777451972431,0.9366666666666668,0.833,0.718,0.42933333333333334,1.8818964074890712,1.1044592846785743,3.303321880489454,1.124449779911965,1.6723602484472049
