age_group,period_flood,pb_level,f_sys,BLL0,threshold_ug_dl,dBLL_med,dBLL_p05,dBLL_p95,p_exceed,p_exceed_p05,p_exceed_p95
Adult_18plus,Disturbance,C_low,0.25,0.5,3.5,0.556357178767115,0.3115737005520718,0.9513240532978964,0,0,0
Adult_18plus,Disturbance,C_low,0.25,0.5,5,0.556357178767115,0.3115737005520718,0.9513240532978964,0,0,0
Adult_18plus,Disturbance,C_low,0.25,1,3.5,0.5654982749944091,0.31812460172063767,0.9458298222751043,0,0,0
Adult_18plus,Disturbance,C_low,0.25,1,5,0.5654982749944091,0.31812460172063767,0.9458298222751043,0,0,0
Adult_18plus,Disturbance,C_low,0.25,2,3.5,0.5573557648569976,0.31098274321440394,0.9464446079938834,0,0,0
Adult_18plus,Disturbance,C_low,0.25,2,5,0.5573557648569976,0.31098274321440394,0.9464446079938834,0,0,0
Adult_18plus,Disturbance,C_low,0.5,0.5,3.5,1.1233436782180384,0.6376623862755175,1.882570931472827,0.001,0,0
Adult_18plus,Disturbance,C_low,0.5,0.5,5,1.1233436782180384,0.6376623862755175,1.882570931472827,0,0,0
Adult_18plus,Disturbance,C_low,0.5,1,3.5,1.1168624495570179,0.6392684617396411,1.917116386050562,0.006333333333333333,0,0
Adult_18plus,Disturbance,C_low,0.5,1,5,1.1168624495570179,0.6392684617396411,1.917116386050562,0,0,0
Adult_18plus,Disturbance,C_low,0.5,2,3.5,1.1138304289546663,0.6259842965702844,1.8258232995375419,0.177,0,1
Adult_18plus,Disturbance,C_low,0.5,2,5,1.1138304289546663,0.6259842965702844,1.8258232995375419,3.333333333333333e-4,0,0
Adult_18plus,Disturbance,C_low,0.75,0.5,3.5,1.6742096003461797,0.9644442104969698,2.841725010171226,0.034666666666666665,0,0
Adult_18plus,Disturbance,C_low,0.75,0.5,5,1.6742096003461797,0.9644442104969698,2.841725010171226,0.0013333333333333333,0,0
Adult_18plus,Disturbance,C_low,0.75,1,3.5,1.6666062226734566,0.9524145061687406,2.86212370810857,0.10933333333333334,0,1
Adult_18plus,Disturbance,C_low,0.75,1,5,1.6666062226734566,0.9524145061687406,2.86212370810857,0.005,0,0
Adult_18plus,Disturbance,C_low,0.75,2,3.5,1.6882125035327877,0.9776651674747163,2.8494912515582618,0.6413333333333333,0,1
Adult_18plus,Disturbance,C_low,0.75,2,5,1.6882125035327877,0.9776651674747163,2.8494912515582618,0.034333333333333334,0,0
Adult_18plus,Disturbance,C_low,1,0.5,3.5,2.243227718183073,1.2738266021705855,3.7115791343639892,0.18866666666666668,0,1
Adult_18plus,Disturbance,C_low,1,0.5,5,2.243227718183073,1.2738266021705855,3.7115791343639892,0.013666666666666667,0,0
Adult_18plus,Disturbance,C_low,1,1,3.5,2.246552654631593,1.257639140779528,3.8257729305533927,0.36866666666666664,0,1
Adult_18plus,Disturbance,C_low,1,1,5,2.246552654631593,1.257639140779528,3.8257729305533927,0.03766666666666667,0,0
Adult_18plus,Disturbance,C_low,1,2,3.5,2.238728684822159,1.2690928817385203,3.747092305391225,0.8726666666666667,0,1
Adult_18plus,Disturbance,C_low,1,2,5,2.238728684822159,1.2690928817385203,3.747092305391225,0.16966666666666666,0,1
Adult_18plus,Disturbance,C_med,0.25,0.5,3.5,0.9755138781622867,0.5643913593642902,1.6843300951266318,0,0,0
Adult_18plus,Disturbance,C_med,0.25,0.5,5,0.9755138781622867,0.5643913593642902,1.6843300951266318,0,0,0
Adult_18plus,Disturbance,C_med,0.25,1,3.5,0.9887766243489403,0.562746858761645,1.6783928972231004,0.002,0,0
Adult_18plus,Disturbance,C_med,0.25,1,5,0.9887766243489403,0.562746858761645,1.6783928972231004,0,0,0
Adult_18plus,Disturbance,C_med,0.25,2,3.5,0.9956327984474402,0.5500963176931256,1.6656663047284288,0.09566666666666666,0,1
