term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),10.032651575711094,0.23270962738631557,9.908678714377006,3.8886354092400206e-22,6.358181717364047,15.830641858620412,Total Al
dist_main,1.0747823671614378,0.048585789841190365,1.4843474227260285,0.13803360485511754,0.9771567435198714,1.1821615563948187,Total Al
post_flood,3.9562272635086053,0.2599314797105086,5.290974611636418,1.496541024599857e-7,2.3769889062211074,6.584689612797404,Total Al
(Intercept),9.121586321398599,0.16238567857674524,13.6135387497594,7.976935606434219e-39,6.63509938183649,12.539878038073436,Total Cu
dist_main,0.9764351097078937,0.03451544618503507,-0.6909075623020098,0.4897849754913174,0.9125649534293008,1.0447755196903157,Total Cu
lsl,1.661199199759147,0.03451495693740099,14.704922042066883,1.9532678591276413e-44,1.5525390360834879,1.7774643452714025,Total Cu
post_flood,2.7371117035715993,0.18170597341676317,5.5413876753973055,3.843307703228892e-8,1.9170088448697074,3.908057335195975,Total Cu
(Intercept),13.861804419093044,0.29619542483714323,8.876359841483833,3.4950646778886345e-18,7.757070958882856,24.770899063795607,Total Fe
dist_main,0.8326364923365351,0.18372328423835388,-0.9969238061868594,0.3190609178767456,0.5808578967013042,1.1935510084439769,Total Fe
lsl,0.9859112205481809,0.18372168937565803,-0.07723077494852236,0.938456578729172,0.6877864629798233,1.4132597646536098,Total Fe
post_flood,1.4903437446183587,0.26218171729309797,1.5218711607951436,0.12838143461411247,0.891491007320569,2.491471544731335,Total Fe
(Intercept),1.566467795377583,0.26285916839194284,1.7074666849760782,0.08805924874074207,0.9357834087550421,2.6222107925803546,Total Mn
dist_main,0.8525718584219324,0.12503126569189063,-1.2756631798465794,0.2023837370911941,0.6672739754086137,1.0893258250150009,Total Mn
post_flood,2.8521917092547193,0.2627061466261098,3.9895820215366955,7.123329857596629e-5,1.7043658969651403,4.773034687461682,Total Mn
(Intercept),280.5321516572789,0.1424714299968008,39.56363982017127,6.730030909485346e-201,212.18307629438215,370.89804468795984,Total P
dist_main,0.9879630634259011,0.027709985094101906,-0.437025393136969,0.6621952620562586,0.9357372666546434,1.0431037102791096,Total P
lsl,0.9691931746131132,0.027713206918494777,-1.1291126445954938,0.2591439892823775,0.9179537968928624,1.0232926895625418,Total P
post_flood,1.1680269018079819,0.16274506839603634,0.9543509861244097,0.34015613417971513,0.8490318690557971,1.6068735380503059,Total P
(Intercept),20.16402953331321,0.26429223554013426,5.682914397268848,1.7548527257996057e-8,7.1555893226749125,56.82104837010631,Total Pb
dist_main,1.2613121582613682,0.10577683902376413,1.097369597519813,0.2727546105921129,0.833197129096061,1.9094021150840184,Total Pb
lsl,1.9874113031543073,0.10577681907196188,3.246613696803979,0.0012082430157607626,1.3128435421660654,3.008586751616043,Total Pb
post_flood,9.674002340250889,0.2765148185948639,4.103653699003451,4.411618246494973e-5,3.272400930604059,28.598672126005162,Total Pb
