term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),17.894775792422212,0.42928217653663964,6.719377073486677,6.69544320571001e-11,7.714727850806234,41.508009984771505
mainCI,1.1577144640563746,0.1696629276479298,0.863168954868405,0.3885893484565691,0.8302026463492469,1.6144284605442034
pipecu-pb,1.9064571263876602,0.1685665247400615,3.827845492641915,1.511396602027917e-4,1.370070631632161,2.652840438178309
post_flood,0.5189246295631286,0.46370501956273075,-1.4146852009546094,0.15798016513686716,0.2091211005029747,1.2876881888989475
